experiment,urgent,strategy,rule,rep,X_raw,X_cv,YE,YU,el_app,ur_scan
A_urgent_slots,19,1,1,14,0.679295,3.703000,67711,6193,67.509014,2.497102
A_urgent_slots,19,1,1,15,0.848769,2.729655,67982,5980,96.506931,2.468911
A_urgent_slots,20,1,1,0,1.121896,12.514848,67572,5986,143.348727,2.417669
A_urgent_slots,20,1,1,1,6.059919,16.887232,67620,6019,972.333120,2.450000
A_urgent_slots,20,1,1,2,2.914472,13.783653,67620,6042,444.444304,2.420732
A_urgent_slots,20,1,1,3,2.715154,14.641165,67542,6064,410.759474,2.431415
A_urgent_slots,20,1,1,4,2.560066,13.953666,67576,6015,384.393243,2.448097
A_urgent_slots,20,1,1,5,3.373988,14.496201,67620,6181,520.542129,2.479704
A_urgent_slots,20,1,1,6,4.757743,15.592336,67620,6023,753.734032,2.441075
A_urgent_slots,20,1,1,7,5.098582,15.951380,67620,6033,811.314862,2.423943
A_urgent_slots,20,1,1,8,3.842780,14.917664,67620,6155,599.892998,2.447894
A_urgent_slots,20,1,1,9,1.480295,14.213345,67484,6092,202.864230,2.454924
A_urgent_slots,20,1,1,10,3.134540,13.679693,67620,5864,481.286039,2.427675
A_urgent_slots,20,1,1,11,3.175163,15.559180,67501,6022,487.645160,2.452616
A_urgent_slots,20,1,1,12,2.050985,12.891040,67620,6026,298.690767,2.457575
A_urgent_slots,20,1,1,13,3.045562,13.863773,67620,6014,465.847911,2.453921
A_urgent_slots,20,1,1,14,1.213921,12.814227,67585,6193,157.814362,2.470945
A_urgent_slots,20,1,1,15,2.282256,13.038573,67620,5980,337.788673,2.444480
B_strategy,14,1,1,0,0.427849,0.450602,67888,5986,19.245618,2.819626
B_strategy,14,1,1,1,0.488374,0.468345,68962,6019,28.899833,2.847156
B_strategy,14,1,1,2,0.436535,0.452437,68051,6042,20.513407,2.829883
B_strategy,14,1,1,3,0.458268,0.461971,68355,6064,23.631798,2.858420
B_strategy,14,1,1,4,0.443249,0.458073,68083,6015,21.166060,2.855346
B_strategy,14,1,1,5,0.461727,0.461754,68427,6181,23.282246,2.908279
B_strategy,14,1,1,6,0.447262,0.453710,68293,6023,22.294382,2.831015
B_strategy,14,1,1,7,0.466207,0.453488,68775,6033,25.108728,2.850749
B_strategy,14,1,1,8,0.457952,0.459232,68400,6155,23.907585,2.840804
B_strategy,14,1,1,9,0.441725,0.471101,67702,6092,20.613730,2.871222
B_strategy,14,1,1,10,0.458470,0.464492,68332,5864,24.133543,2.833358
B_strategy,14,1,1,11,0.459726,0.472956,68122,6022,23.918236,2.856201
B_strategy,14,1,1,12,0.437850,0.454459,68036,6026,20.188009,2.859153
B_strategy,14,1,1,13,0.449177,0.466583,68018,6014,21.940252,2.867219
B_strategy,14,1,1,14,0.437978,0.465811,67723,6193,19.690601,2.886950
B_strategy,14,1,1,15,0.429637,0.448470,67988,5980,19.111842,2.842880
B_strategy,14,2,1,0,0.381130,0.403793,67888,5986,18.731254,2.426711
B_strategy,14,2,1,1,0.439988,0.420546,68961,6019,28.311768,2.443190
B_strategy,14,2,1,2,0.388202,0.403744,68051,6042,19.879135,2.428863
B_strategy,14,2,1,3,0.415072,0.418466,68356,6064,23.078847,2.499285
B_strategy,14,2,1,4,0.397501,0.412185,68083,6015,20.539491,2.477178
B_strategy,14,2,1,5,0.416566,0.415542,68427,6181,22.732790,2.531266
B_strategy,14,2,1,6,0.404350,0.410733,68294,6023,21.870408,2.467522
B_strategy,14,2,1,7,0.418217,0.405793,68775,6033,24.577357,2.447306
B_strategy,14,2,1,8,0.410858,0.411290,68399,6155,23.383464,2.445041
B_strategy,14,2,1,9,0.394506,0.422918,67701,6092,20.031116,2.477455
B_strategy,14,2,1,10,0.410516,0.417723,68331,5864,23.500875,2.435667
B_strategy,14,2,1,11,0.413990,0.427100,68121,6022,23.381267,2.473345
B_strategy,14,2,1,12,0.387551,0.403864,68037,6026,19.683625,2.433478
B_strategy,14,2,1,13,0.401835,0.419095,68017,6014,21.474454,2.466102
B_strategy,14,2,1,14,0.393604,0.419766,67722,6193,19.166311,2.515670
B_strategy,14,2,1,15,0.384266,0.403095,67989,5980,18.561028,2.464056
B_strategy,14,3,1,0,0.382751,0.404606,67888,5986,18.547575,2.451140
B_strategy,14,3,1,1,0.439228,0.420432,68962,6019,28.208439,2.441888
B_strategy,14,3,1,2,0.390872,0.405865,68051,6042,19.734548,2.460637
B_strategy,14,3,1,3,0.419174,0.422452,68356,6064,23.040353,2.538263
B_strategy,14,3,1,4,0.402290,0.416452,68083,6015,20.422552,2.526548
B_strategy,14,3,1,5,0.418877,0.417911,68427,6181,22.643869,2.556830
B_strategy,14,3,1,6,0.405585,0.411740,68294,6023,21.712474,2.487094
B_strategy,14,3,1,7,0.421448,0.409462,68775,6033,24.457483,2.482805
B_strategy,14,3,1,8,0.412367,0.412802,68399,6155,23.271750,2.464606
B_strategy,14,3,1,9,0.397024,0.424441,67701,6092,19.905300,2.506861
B_strategy,14,3,1,10,0.413128,0.420054,68331,5864,23.340098,2.467793
B_strategy,14,3,1,11,0.418155,0.430799,68121,6022,23.196134,2.520744
B_strategy,14,3,1,12,0.390656,0.406391,68037,6026,19.597876,2.466020
B_strategy,14,3,1,13,0.398929,0.415613,68016,6014,21.355458,2.446323
B_strategy,14,3,1,14,0.396627,0.421888,67722,6193,19.101074,2.546370
B_strategy,14,3,1,15,0.390192,0.408347,67989,5980,18.444395,2.523638
C_rule,14,1,1,0,0.427849,0.450602,67888,5986,19.245618,2.819626
C_rule,14,1,1,1,0.488374,0.468345,68962,6019,28.899833,2.847156
C_rule,14,1,1,2,0.436535,0.452437,68051,6042,20.513407,2.829883
C_rule,14,1,1,3,0.458268,0.461971,68355,6064,23.631798,2.858420
C_rule,14,1,1,4,0.443249,0.458073,68083,6015,21.166060,2.855346
C_rule,14,1,1,5,0.461727,0.461754,68427,6181,23.282246,2.908279
C_rule,14,1,1,6,0.447262,0.453710,68293,6023,22.294382,2.831015
C_rule,14,1,1,7,0.466207,0.453488,68775,6033,25.108728,2.850749
C_rule,14,1,1,8,0.457952,0.459232,68400,6155,23.907585,2.840804
C_rule,14,1,1,9,0.441725,0.471101,67702,6092,20.613730,2.871222
C_rule,14,1,1,10,0.458470,0.464492,68332,5864,24.133543,2.833358
C_rule,14,1,1,11,0.459726,0.472956,68122,6022,23.918236,2.856201
C_rule,14,1,1,12,0.437850,0.454459,68036,6026,20.188009,2.859153
C_rule,14,1,1,13,0.449177,0.466583,68018,6014,21.940252,2.867219
C_rule,14,1,1,14,0.437978,0.465811,67723,6193,19.690601,2.886950
